Ref_Ticket,Date,Heure,Type,Titre,Description,Status,Priority,Items
191,30/05/2026,08:02,Incident,Écran — rétroéclairage qui clignote,"Le rétroéclairage scintille de façon aléatoire, environ toutes les 2-3 minutes. Phénomène accentué à froid. Onduleur de l'écran probablement défaillant.",Resolved,Critical,"[""PR-SALL-001""]"
192,17/01/2026,08:59,Incident,Perte de connectivité WiFi intermittente,Plusieurs utilisateurs de la salle 301 signalent des coupures WiFi toutes les 15-20 minutes. L'AP Ubiquiti redémarre seul selon les logs. Possible interférence ou surcharge.,New,Medium,"[""PC-SALL-004"", ""MOB-SALL-001"", ""PC-JURI-003"", ""SW-SECR-003""]"
193,19/04/2026,12:57,Incident,Moniteur — bandes verticales colorées,Des bandes verticales vertes et rouges apparaissent sur le tiers droit de l'écran. Problème identique avec un autre câble et un autre poste source — défaut dalle.,Closed,High,"[""PC-ACCU-004"", ""PH-SALL-002"", ""SW-MARK-003"", ""PR-SALL-001""]"
194,05/02/2026,17:55,Incident,Bourrage papier répété — imprimante Canon,"Bourrages papier fréquents (3 fois par jour) sur le bac 2. Rouleaux d'entraînement probablement usés. Utilisation de papier 80g/m² standard, pas de papier épais.",New,Medium,"[""PR-SALL-001"", ""PC-BIBL-002"", ""PH-SALL-002"", ""PC-JURI-004""]"
195,02/01/2026,07:19,Incident,Switch — port Fa0/12 en erreur,Le port 12 du switch Cisco en salle serveur passe en état err-disabled après quelques secondes. Logs : port-security violation. À investiguer (loop ou adresse MAC inconnue).,Pending,High,"[""PC-JURI-005"", ""PC-JURI-006"", ""MN-MAGA-004"", ""MN-DIRE-001""]"
196,10/02/2026,11:12,Demande,Remplacement écran cassé,"Suite à une chute, l'écran du laptop LT-DIR-002 est fissuré et illisible. Remplacement dalle sous garantie à vérifier, sinon devis prestataire externe.",New,Low,"[""SW-SALL-002"", ""MOB-SALL-001"", ""PC-ADMI-002"", ""PC-DSI-003""]"
197,23/02/2026,08:06,Incident,Laptop — chargeur qui chauffe anormalement,Le bloc d'alimentation du laptop chauffe fortement (trop chaud pour être tenu en main). Risque d'incendie. Chargeur à remplacer en urgence et poste à ne pas utiliser en attendant.,New,High,"[""PC-SALL-004""]"
198,13/01/2026,13:28,Incident,Clavier — touches mortes aléatoires,"Plusieurs touches (E, R, T, espace) ne répondent plus de façon intermittente. Le clavier fonctionne normalement sur un autre poste. Probable défaillance du contrôleur interne.",Pending,Medium,"[""PC-SALL-002""]"
199,10/05/2026,11:14,Demande,Mise à jour firmware switch Cisco,Bulletin de sécurité Cisco CVE-2026-1234 affectant les Catalyst 2960-X. Mise à jour IOS 15.2(7)E8 à déployer sur les 2 switches en salle serveur. Intervention en dehors des heures de production.,Pending,Medium,"[""PC-ADMI-003"", ""PC-SECR-004"", ""PC-LOGI-002""]"
200,15/05/2026,10:26,Incident,Port USB 3.0 non reconnu,Les périphériques branchés sur le port USB frontal ne sont pas détectés. Les ports arrière fonctionnent. Vérification du connecteur interne de la carte mère à prévoir.,Resolved,Low,"[""SW-SALL-001"", ""PH-SALL-001""]"
